timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763074666,2025-11-13 16:57:46-06:00,card0,0,0,0,N/A,0
1763074667,2025-11-13 16:57:47-06:00,card0,0,0,0,N/A,0
1763074668,2025-11-13 16:57:48-06:00,card0,0,0,0,N/A,0
1763074669,2025-11-13 16:57:49-06:00,card0,0,0,0,N/A,0
1763074670,2025-11-13 16:57:50-06:00,card0,0,0,0,N/A,0
1763074671,2025-11-13 16:57:51-06:00,card0,0,0,0,N/A,0
1763074672,2025-11-13 16:57:52-06:00,card0,0,0,0,N/A,0
1763074673,2025-11-13 16:57:53-06:00,card0,0,0,0,N/A,0
1763074674,2025-11-13 16:57:54-06:00,card0,0,0,0,N/A,0
1763074676,2025-11-13 16:57:56-06:00,card0,0,0,0,N/A,0
1763074677,2025-11-13 16:57:57-06:00,card0,0,0,0,N/A,0
1763074678,2025-11-13 16:57:58-06:00,card0,0,0,0,N/A,0
1763074679,2025-11-13 16:57:59-06:00,card0,0,0,0,N/A,0
1763074680,2025-11-13 16:58:00-06:00,card0,0,0,0,N/A,0
1763074681,2025-11-13 16:58:01-06:00,card0,0,0,0,N/A,0
1763074682,2025-11-13 16:58:02-06:00,card0,0,0,0,N/A,0
1763074683,2025-11-13 16:58:03-06:00,card0,0,0,0,N/A,0
1763074684,2025-11-13 16:58:04-06:00,card0,0,0,0,N/A,0
1763074685,2025-11-13 16:58:05-06:00,card0,0,0,0,N/A,0
1763074687,2025-11-13 16:58:07-06:00,card0,0,0,0,N/A,0
1763074688,2025-11-13 16:58:08-06:00,card0,0,0,0,N/A,0
1763074689,2025-11-13 16:58:09-06:00,card0,0,0,0,N/A,0
1763074690,2025-11-13 16:58:10-06:00,card0,0,0,0,N/A,0
1763074691,2025-11-13 16:58:11-06:00,card0,0,0,0,N/A,0
1763074692,2025-11-13 16:58:12-06:00,card0,0,0,0,N/A,0
